Area,Canyon,num_routes,total_score,avg_path_position,first_scenic_order,avg_stars,Latitude,Longitude,5.0-5.6,5.11,5.7-5.8,5.9-5.10,unknown,5.12+,num_trad,num_sport,avg_trad_grade,score_per_route,score_rank
The Twinkie,The Trophy Area,5,21.2,0.9449,878,2.24,36.1692,-115.4534,0.0,4.0,0.0,0.0,1.0,0.0,0,5,,4.24,85
The Salt Factory,The Trophy Area,2,10.5,0.946,883,1.75,36.1708,-115.4532,0.0,0.0,0.0,1.0,0.0,0.0,1,1,5.10,5.25,117
The Bull Market and Satellite Wall,The Trophy Area,1,3.0,0.9478,885,1.0,36.1695,-115.4521,0.0,0.0,0.0,0.0,1.0,0.0,0,1,,3.0,143
Avian Wall,The Trophy Area,5,27.0,0.9489,886,2.2,36.1701,-115.4518,0.0,2.0,0.0,3.0,0.0,0.0,0,5,,5.4,66
White Slab,Parking Lot Area,6,31.3,0.9496,891,2.2167,36.1625,-115.4498,,,,,,,4,0,5.8,5.22,62
Boy Scout Cliff,Sandy Corridor,1,3.0,0.9497,897,2.0,36.1641,-115.4501,,,,,,,0,0,,3.0,143
Left Wall,Front Corridor,2,9.6,0.9505,898,2.8,36.1627,-115.4494,0.0,2.0,0.0,0.0,0.0,0.0,0,2,,4.8,121
Right Wall,Front Corridor,11,60.5,0.9507,900,2.6818,36.1626,-115.4493,0.0,6.0,0.0,4.0,0.0,0.0,1,10,5.9,5.5,23
Man's Best Friend Area,Parking Lot Area,2,11.0,0.9507,911,2.0,36.162,-115.4491,0.0,0.0,1.0,0.0,0.0,0.0,1,1,5.7,5.5,115
Lower Right Wall,Sandy Corridor,4,20.8,0.9509,913,2.2,36.1639,-115.4495,,,,,,,4,0,5.8+,5.2,87
The Secret 13 Wall,The Trophy Area,2,9.7,0.9517,917,2.85,36.1708,-115.4507,0.0,2.0,0.0,0.0,0.0,0.0,0,2,,4.85,120
Lower Left Wall,Sandy Corridor,1,5.5,0.9517,919,2.5,36.164,-115.4492,,,,,,,1,0,5.10,5.5,135
Gully Right,Hidden Corridor,5,23.2,0.9519,920,2.04,36.1615,-115.4485,2.0,1.0,0.0,0.0,0.0,0.0,2,3,5.10+,4.64,80
